Title,Artist,Genre,Year,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Duration,Acousticness,Popularity
Angel,Fifth Harmony,Pop,2017,124,53,74,35,13,189,0,59
Touch (feat. Kid Ink),Little Mix,Pop,2017,102,75,64,49,53,203,4,59
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,Pop,2017,100,82,70,45,67,218,49,59
No Vacancy (with Sebastián Yatra),OneRepublic,Pop,2017,100,76,69,14,59,223,8,57
Rich Boy,Galantis,Big Room,2017,110,90,74,8,65,184,7,55
Lust for Life (with The Weeknd),Lana Del Rey,Pop,2017,100,67,51,36,27,264,58,54
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,Pop,2017,115,83,70,36,63,245,28,54
Influence,Tove Lo,Pop,2017,105,59,77,11,33,225,10,54
Remember I Told You,Nick Jonas,Pop,2017,113,53,68,4,84,202,14,53
Messin' Around,Pitbull,Pop,2017,158,81,57,4,78,223,2,51
Water Under the Bridge,Adele,British Soul,2017,95,84,60,11,47,240,2,49
Free Me,Sia,Australian Dance,2017,87,46,27,14,21,286,85,44
Kissing Strangers - Remix,DNCE,Pop,2017,120,77,76,8,81,202,8,43
A L I E N S,Coldplay,Permanent Wave,2017,148,88,43,21,25,282,0,41
One Kiss (with Dua Lipa),Calvin Harris,Pop,2018,124,86,79,8,59,215,4,86
Havana (feat. Young Thug),Camila Cabello,Pop,2018,105,52,77,13,39,217,18,85
I Like It,Cardi B,Pop,2018,136,73,82,37,65,253,10,85
New Rules,Dua Lipa,Dance Pop,2018,116,70,76,15,61,209,0,84
There's Nothing Holdin' Me Back,Shawn Mendes,Pop,2018,122,81,87,8,97,199,38,84
no tears left to cry,Ariana Grande,Pop,2018,122,71,70,29,35,206,4,84
IDGAF,Dua Lipa,Pop,2018,97,54,84,8,51,218,4,84
In My Blood,Shawn Mendes,Pop,2018,140,71,62,13,49,211,6,83
Wolves,Selena Gomez,Pop,2018,125,80,72,20,31,198,12,83
Dusk Till Dawn - Radio Edit,ZAYN,Pop,2018,180,44,26,11,10,239,10,83
Attention,Charlie Puth,Pop,2018,100,61,78,13,80,209,11,83
Electricity (with Dua Lipa),Silk City,Electronic,2018,118,67,59,34,51,238,1,82
Love On The Brain,Rihanna,Pop,2018,172,64,51,8,38,224,7,82
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,Pop,2018,103,71,66,8,74,175,3,82
Sorry Not Sorry,Demi Lovato,Pop,2018,144,64,71,26,89,204,2,81
Shallow - Radio Edit,Lady Gaga,Pop,2018,96,33,57,9,28,217,42,80
These Days,Rudimental,Pop,2018,92,81,65,17,55,211,19,80
What Lovers Do (feat. SZA),Maroon 5,Pop,2018,110,60,80,10,42,200,8,79
Finesse - Remix; feat. Cardi B,Bruno Mars,Pop,2018,105,86,70,2,93,217,2,78
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Pop,2018,95,30,59,12,36,260,78,78
Bad At Love,Halsey,Pop,2018,118,75,68,9,61,181,6,78
Him & I (with Halsey),G-Eazy,Hip-Hop,2018,88,73,59,31,19,269,5,78
Friends (with BloodPop®),Justin Bieber,Canadian Pop,2018,105,73,74,30,62,189,0,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Pop,2018,98,67,67,12,63,204,3,76
My My My!,Troye Sivan,Pop,2018,103,46,70,5,48,205,0,76
Capital Letters,Hailee Steinfeld,Pop,2018,100,81,66,5,46,219,3,76
Sick Boy,The Chainsmokers,Electronic,2018,90,58,66,12,45,193,11,76
Look What You Made Me Do,Taylor Swift,Pop,2018,128,71,77,13,51,212,20,75
Youth (feat. Khalid),Shawn Mendes,Pop,2018,100,60,53,13,32,191,56,75
Bad Liar,Selena Gomez,Pop,2018,121,41,97,8,73,215,19,75
Anywhere,Rita Ora,Pop,2018,107,80,63,10,32,215,4,74
Chun-Li,Nicki Minaj,Pop,2018,129,73,69,11,48,192,28,73
Sign of the Times,Harry Styles,Pop,2018,120,57,52,11,21,341,3,72
Familiar,Liam Payne,Pop,2018,93,81,64,8,91,197,2,72
Let Me,ZAYN,Pop,2018,168,57,46,10,19,185,24,72
Supernova,Ansel Elgort,Pop,2018,140,62,77,21,68,191,6,72
